Rank,Ticker,Score,Verdict,Setup_Type,Regime,Trend_Note,Asset_Note,Structure,Prev_Label,Last_Label,Bars_Since_Flip,RSI,MRC_Zone,Stop_Dist_Pct,Room_To_Resist_Pct,RR_Ratio,Current_Price,Nearest_Support,Nearest_Resistance,ATH_Dist_Pct,Market_Cap_M,RET30,Held_QTY,SELL_ORDER,Earnings,s_structure,s_setup,s_fresh,s_stop,s_room,s_oversold,s_penalty
95,TLN,20,D-WEAK,DOWNTREND,BEAR,against (2/3),,BEARISH,LH,LL,21.0,41.65,OS,5.6,11.5,2.1,296.46,279.77,330.64,-33.86,14204.66,-10.12,,,,0,0,0,5,4,11,0
96,AVGO,19,E-AVOID,WEAK,BEAR,against (1/3),TIER 1,BEARISH,LL,LH,20.0,32.46,OS,14.7,9.8,0.7,339.51,289.5,372.7,-29.81,1620695.19,-18.81,17,SELL,,3,0,0,0,4,12,0
97,CRDO,19,E-AVOID,DOWNTREND,BEAR,against (1/3),trade only - customer concentration,BEARISH,LH,LL,11.0,36.18,Below_Mean,7.6,10.2,1.3,161.49,149.14,178.0,-46.16,30352.36,-32.12,23,SELL,,0,0,0,5,4,10,0
98,GLD,18,E-AVOID,WEAK,BEAR,against (0/3),no mkt cap - ETF/fund,BEARISH,LL,LH,11.0,43.2,Near_Mean,5.9,5.6,0.9,391.74,368.64,413.54,-21.49,,4.7,,,,3,0,0,5,2,8,0
99,LMT,18,E-AVOID,DOWNTREND,BEAR,against (0/3),,BEARISH,LH,LL,19.0,44.85,Near_Mean,2.5,1.2,0.5,537.25,524.03,543.59,-22.15,123992.33,-8.27,,,,0,0,0,10,0,8,0
100,COIN,17,E-AVOID,WEAK,BEAR,partial (2/3),,BEARISH,LL,LH,6.0,46.01,Near_Mean,11.2,17.5,1.6,164.51,146.02,193.22,-62.2,43403.81,9.14,,,,3,0,0,2,6,6,0
101,MP,17,E-AVOID,WEAK,BEAR,against (1/3),,BEARISH,LL,LH,12.0,38.69,Near_Mean,22.8,19.5,0.9,48.99,37.81,58.52,-50.14,8725.2,3.2,,,,3,0,0,0,6,8,0
102,STKE,17,E-AVOID,DOWNTREND,BEAR,partial (2/3),micro-cap $44M | -97% from ATH,BEARISH,LH,LL,4.0,45.03,Near_Mean,6.4,20.0,3.1,1.1,1.03,1.32,-96.79,43.69,5.77,,,,0,0,0,5,6,6,0
103,AVAV,16,E-AVOID,DOWNTREND,BULL,against (1/3),,BEARISH,LH,LL,53.0,51.45,Near_Mean,10.1,28.1,2.8,156.45,140.62,200.38,-60.93,7950.9,-7.44,,,,0,0,0,2,8,6,0
104,IRDM,16,E-AVOID,DOWNTREND,BEAR,partial (2/3),,BEARISH,LH,LL,17.0,49.44,Near_Mean,2.7,1.7,0.6,47.28,45.99,48.07,-30.49,5010.81,-4.39,,,,0,0,0,10,0,6,0
105,NPK,16,E-AVOID,WEAK,BULL,partial (1/3),"small-cap $1,091M",MIXED,HL,LH,31.0,60.29,OB,6.7,2.5,0.4,152.84,142.55,156.66,-3.37,1090.68,12.33,,,,13,0,0,5,0,-2,0
